activity_id,occurence,activity_repeated_at
10643,1,1997-10-03 00:00:00+05
10692,2,1997-10-13 00:00:00+05
10702,3,1998-01-15 00:00:00+05
10835,4,1998-03-16 00:00:00+05
10952,5,1998-04-09 00:00:00+05
11011,6,
10308,1,1997-08-08 00:00:00+05
10625,2,1997-11-28 00:00:00+05
10759,3,1998-03-04 00:00:00+05
10926,4,
10365,1,1997-04-15 00:00:00+05
10507,2,1997-05-13 00:00:00+05
10535,3,1997-06-19 00:00:00+05
10573,4,1997-09-22 00:00:00+05
10677,5,1997-09-25 00:00:00+05
10682,6,1998-01-28 00:00:00+05
10856,7,
10355,1,1996-12-16 00:00:00+05
10383,2,1997-02-21 00:00:00+05
10453,3,1997-06-04 00:00:00+05
10558,4,1997-10-16 00:00:00+05
10707,5,1997-11-14 00:00:00+05
10741,6,1997-11-17 00:00:00+05
10743,7,1997-12-08 00:00:00+05
10768,8,1997-12-24 00:00:00+05
10793,9,1998-02-02 00:00:00+05
10864,10,1998-03-03 00:00:00+05
10920,11,1998-03-16 00:00:00+05
10953,12,1998-04-10 00:00:00+05
11016,13,
10289,1,1997-03-11 00:00:00+05
10471,2,1997-03-24 00:00:00+05
10484,3,1997-05-15 00:00:00+05
10538,4,1997-05-16 00:00:00+05
10539,5,1997-06-24 00:00:00+05
10578,6,1997-07-15 00:00:00+05
10599,7,1998-03-11 00:00:00+05
10943,8,1998-03-13 00:00:00+05
10947,9,1998-04-14 00:00:00+05
11023,10,
10278,1,1996-08-14 00:00:00+05
10280,2,1996-12-16 00:00:00+05
10384,3,1997-02-12 00:00:00+05
10444,4,1997-02-13 00:00:00+05
10445,5,1997-05-01 00:00:00+05
10524,6,1997-06-18 00:00:00+05
10572,7,1997-08-11 00:00:00+05
10626,8,1997-09-02 00:00:00+05
10654,9,1997-09-17 00:00:00+05
10672,10,1997-10-01 00:00:00+05
10689,11,1997-11-07 00:00:00+05
10733,12,1997-12-16 00:00:00+05
10778,13,1998-01-16 00:00:00+05
10837,14,1998-01-28 00:00:00+05
10857,15,1998-02-03 00:00:00+05
10866,16,1998-02-06 00:00:00+05
10875,17,1998-03-04 00:00:00+05
10924,18,
10501,1,1997-04-17 00:00:00+05
10509,2,1997-06-27 00:00:00+05
10582,3,1997-07-29 00:00:00+05
10614,4,1998-01-27 00:00:00+05
10853,5,1998-03-17 00:00:00+05
10956,6,1998-04-29 00:00:00+05
11058,7,
10265,1,1996-09-04 00:00:00+05
10297,2,1996-11-22 00:00:00+05
10360,3,1997-02-05 00:00:00+05
10436,4,1997-02-18 00:00:00+05
10449,5,1997-06-05 00:00:00+05
10559,6,1997-06-12 00:00:00+05
10566,7,1997-06-30 00:00:00+05
10584,8,1997-08-12 00:00:00+05
10628,9,1997-09-23 00:00:00+05
10679,10,1998-01-12 00:00:00+05
10826,11,
10326,1,1997-12-29 00:00:00+05
10801,2,1998-03-24 00:00:00+05
10970,3,
10331,1,1996-10-29 00:00:00+05
10340,2,1996-11-25 00:00:00+05
10362,3,1997-03-11 00:00:00+05
10470,4,1997-04-18 00:00:00+05
10511,5,1997-05-02 00:00:00+05
10525,6,1997-09-10 00:00:00+05
10663,7,1997-10-23 00:00:00+05
10715,8,1997-11-05 00:00:00+05
10730,9,1997-11-06 00:00:00+05
10732,10,1997-11-26 00:00:00+05
10755,11,1998-01-12 00:00:00+05
10827,12,1998-02-05 00:00:00+05
10871,13,1998-02-09 00:00:00+05
10876,14,1998-03-06 00:00:00+05
10932,15,1998-03-11 00:00:00+05
10940,16,1998-05-06 00:00:00+05
11076,17,
10389,1,1997-01-10 00:00:00+05
10410,2,1997-01-10 00:00:00+05
10411,3,1997-01-30 00:00:00+05
10431,4,1997-04-01 00:00:00+05
10492,5,1997-11-14 00:00:00+05
10742,6,1998-03-02 00:00:00+05
10918,7,1998-03-12 00:00:00+05
10944,8,1998-03-13 00:00:00+05
10949,9,1998-03-25 00:00:00+05
10975,10,1998-03-27 00:00:00+05
10982,11,1998-04-16 00:00:00+05
11027,12,1998-04-23 00:00:00+05
11045,13,1998-04-24 00:00:00+05
11048,14,
10521,1,1997-12-17 00:00:00+05
10782,2,1998-01-07 00:00:00+05
10819,3,1998-02-11 00:00:00+05
10881,4,1998-03-10 00:00:00+05
10937,5,1998-04-28 00:00:00+05
11054,6,
10259,1,
10254,1,1996-12-03 00:00:00+05
10370,2,1997-04-28 00:00:00+05
10519,3,1997-11-06 00:00:00+05
10731,4,1997-11-19 00:00:00+05
10746,5,1998-03-20 00:00:00+05
10966,6,1998-04-16 00:00:00+05
11029,7,1998-04-22 00:00:00+05
11041,8,
10290,1,1997-03-06 00:00:00+05
10466,2,1997-04-02 00:00:00+05
10494,3,1998-03-23 00:00:00+05
10969,4,1998-04-22 00:00:00+05
11042,5,
10435,1,1997-03-03 00:00:00+05
10462,2,1998-01-23 00:00:00+05
10848,3,
10301,1,1996-09-23 00:00:00+05
10312,2,1996-11-07 00:00:00+05
10348,3,1996-11-18 00:00:00+05
